охра	ɔ x r ɐ
соба	s ɔ b a
ламја	ɫ a m j a
хрват	x r̩ v a t
гулаб	ɡ u ɫ a p
брава	b r a v a
развојно	r a z v ɔ j n ɔ
појача	p ɔ j a t͡ʃ a
неконтролиран	n ɛ k ɔ n t r ɔ l i ɾ a n
предрасположуван	p r ɛ d r a s p ɔ ɫ ɔ ʒ u v a n
избрука	i z b r u k a
чуки	t͡ʃ u k i
кумулонимбусен	k u m u ɫ ɔ n i m b u s ɛ n
стефан	s t ɛ f a n
пичкари	p i t͡ʃ k a ɾ i
расчетка	r a ʃ t͡ʃ ɛ t k a
миловиден	m i ɫ ɔ v i d ɛ n
вонсезонски	v ɔ n s ɛ z ɔ n s k i
накострешува	n a k ɔ s t r ɛ ʃ u v a
реформист	r ɛ f ɔ r m i s t
фрустрирање	f r u s t r i ɾ a ɲ ɛ
статистичар	s t a t i s t i t͡ʃ a r
засолнет	z a s ɔ ɫ n ɛ t
заврзува	z a v r̩ z u v a
антагонизам	a n t a ɡ ɔ n i z a m
вообразено	v ɔ ɔ b r a z ɛ n ɔ
цвилење	t͡s v i l ɛ ɲ ɛ
поднамокри	p ɔ d n a m ɔ k r i
бут	b u t
усни	u s n i
разонода	r a z ɔ n ɔ d a
салон	s a ɫ ɔ n
неиселен	n ɛ i s ɛ l ɛ n
откочи	ɔ t k ɔ t͡ʃ i
притајува	p r i t a j u v a
непридржување	n ɛ p r i d r̩ ʒ u v a ɲ ɛ
прегрнат	p r ɛ ɡ r̩ n a t
раштркува	r a ʃ t r̩ k u v a
неповратен	n ɛ p ɔ v r a t ɛ n
небрежно	n ɛ b r ɛ ʒ n ɔ
пуристички	p u r i s t i t͡ʃ k i
дијагонален	d i j a ɡ ɔ n a l ɛ n
масен	m a s ɛ n
мбабане	m̩ b a b a n ɛ
доручек	d ɔ ɾ u t͡ʃ ɛ k
преса	p r ɛ s a
содржење	s ɔ d r̩ ʒ ɛ ɲ ɛ
засолнување	z a s ɔ ɫ n u v a ɲ ɛ
сантодомингоански	s a n t ɔ d ɔ m i ŋ ɡ ɔ a n s k i
варијанта	v a ɾ i j a n t a
пребричуван	p r ɛ b r i t͡ʃ u v a n
откупи	ɔ t k u p i
курвање	k u r v a ɲ ɛ
непростен	n ɛ p r ɔ s t ɛ n
џудо	d͡ʒ u d ɔ
налепници	n a l ɛ p n i t͡s i
алјаски	a ʎ a s k i
терористка	t ɛ ɾ ɔ r i s t k a
чембала	t͡ʃ ɛ m b a ɫ a
непара	n ɛ p a ɾ a
славољубивост	s ɫ a v ɔ ʎ u b i v ɔ s t
незалепен	n ɛ z a l ɛ p ɛ n
злотворен	z ɫ ɔ t v ɔ ɾ ɛ n
воздивнува	v ɔ z d i v n u v a
здружено	z d r u ʒ ɛ n ɔ
оружја	ɔ ɾ u ʒ j a
порочно	p ɔ ɾ ɔ t͡ʃ n ɔ
издлабуван	i z d ɫ a b u v a n
заговорник	z a ɡ ɔ v ɔ r n i k
заглавување	z a ɡ ɫ a v u v a ɲ ɛ
чувар	t͡ʃ u v a r
зашеметеност	z a ʃ ɛ m ɛ t ɛ n ɔ s t
астрономски	a s t r ɔ n ɔ m s k i
зобне	z ɔ b n ɛ
јонизиран	j ɔ n i z i ɾ a n
полно	p ɔ ɫ n ɔ
пицерија	p i t͡s ɛ ɾ i j a
кикиритка	k i k i r i t k a
харковски	x a r k ɔ f s k i
оклагија	ɔ k ɫ a ɡ i j a
сензуалност	s ɛ n z u a ɫ n ɔ s t
потир	p ɔ t i r
кавалер	k a v a l ɛ r
врвно	v r̩ v n ɔ
напнатост	n a p n a t ɔ s t
неозначен	n ɛ ɔ z n a t͡ʃ ɛ n
дунав	d u n a f
трипати	t r i p a t i
дополна	d ɔ p ɔ ɫ n a
прекисне	p r ɛ k i s n ɛ
солзен	s ɔ ɫ z ɛ n
осакатува	ɔ s a k a t u v a
болки	b ɔ ɫ k i
кигалиски	k i ɡ a l i s k i
конексија	k ɔ n ɛ k s i j a
палачинка	p a ɫ a t͡ʃ i ŋ k a
корумпиран	k ɔ ɾ u m p i ɾ a n
неизброен	n ɛ i z b r ɔ ɛ n
растаи	r a s t a i
земјопосед	z ɛ m j ɔ p ɔ s ɛ t
разбранува	r a z b r a n u v a
комесаријат	k ɔ m ɛ s a ɾ i j a t
калкирање	k a ɫ k i ɾ a ɲ ɛ
елен	ɛ l ɛ n
неистетовиран	n ɛ i s t ɛ t ɔ v i ɾ a n
билатерално	b i ɫ a t ɛ r a ɫ n ɔ
роеви	r ɔ ɛ v i
расече	r a s ɛ t͡ʃ ɛ
изотермичен	i z ɔ t ɛ r m i t͡ʃ ɛ n
соросоиден	s ɔ ɾ ɔ s ɔ i d ɛ n
опашки	ɔ p a ʃ k i
довиткува	d ɔ v i t k u v a
сношти	s n ɔ ʃ t i
давен	d a v ɛ n
џанак	d͡ʒ a n a k
словенски	s ɫ ɔ v ɛ n s k i
телекомуникациски	t ɛ l ɛ k ɔ m u n i k a t͡s i s k i
резимирање	r ɛ z i m i ɾ a ɲ ɛ
ѕвечкаво	d͡z v ɛ t͡ʃ k a v ɔ
мноштво	m n ɔ ʃ t v ɔ
забрзува	z a b r̩ z u v a
вајари	v a j a ɾ i
конечен	k ɔ n ɛ t͡ʃ ɛ n
стрес	s t r ɛ s
киевјанка	k i ɛ v j a ŋ k a
осаменост	ɔ s a m ɛ n ɔ s t
режимиште	r ɛ ʒ i m i ʃ t ɛ
внуков	v n u k ɔ f
засегне	z a s ɛ ɡ n ɛ
тест	t ɛ s t
преправање	p r ɛ p r a v a ɲ ɛ
непотполен	n ɛ p ɔ t p ɔ l ɛ n
необоснованост	n ɛ ɔ b ɔ s n ɔ v a n ɔ s t
навалуван	n a v a ɫ u v a n
материјалистка	m a t ɛ ɾ i j a l i s t k a
холдинг	x ɔ ɫ d i ŋ k
испотутка	i s p ɔ t u t k a
позеленува	p ɔ z ɛ l ɛ n u v a
хонијарски	x ɔ n i j a r s k i
камилица	k a m i l i t͡s a
узакони	u z a k ɔ n i
проблематизира	p r ɔ b l ɛ m a t i z i ɾ a
загрозеност	z a ɡ r ɔ z ɛ n ɔ s t
производителка	p r ɔ i z v ɔ d i t ɛ ɫ k a
зимата	z i m a t a
радијатор	r a d i j a t ɔ r
шалтер	ʃ a ɫ t ɛ r
бодибилдер	b ɔ d i b i ɫ d ɛ r
распишуван	r a s p i ʃ u v a n
чепкалка	t͡ʃ ɛ p k a ɫ k a
дупол	d u p ɔ ɫ
менѓуша	m ɛ ɲ ɟ u ʃ a
навечер	n a v ɛ t͡ʃ ɛ r
амалгамиран	a m a ɫ ɡ a m i ɾ a n
библиофил	b i b l i j ɔ f i ɫ
ќупови	c u p ɔ v i
бедирање	b ɛ d i ɾ a ɲ ɛ
удолу	u d ɔ ɫ u
боготски	b ɔ ɡ ɔ t s k i
грофови	ɡ r ɔ f ɔ v i
пламеница	p ɫ a m ɛ n i t͡s a
тиранизира	t i ɾ a n i z i ɾ a
овошје	ɔ v ɔ ʃ j ɛ
претрпен	p r ɛ t r̩ p ɛ n
шнајдер	ʃ n a j d ɛ r
помнење	p ɔ m n ɛ ɲ ɛ
фонетика	f ɔ n ɛ t i k a
засенчи	z a s ɛ n t͡ʃ i
придружуван	p r i d r u ʒ u v a n
домери	d ɔ m ɛ ɾ i
институт	i n s t i t u t
наковална	n a k ɔ v a ɫ n a
помавтан	p ɔ m a f t a n
испукува	i s p u k u v a
вртен	v r̩ t ɛ n
менарха	m ɛ n a r x a
англофил	a ŋ ɡ ɫ ɔ f i ɫ
расрди	r a s r̩ d i
кениски	k ɛ n i s k i
исекува	i s ɛ k u v a
аври	a v r i
сузбиен	s u z b i j ɛ n
цитоплазма	t͡s i t ɔ p ɫ a z m a
јазолче	j a z ɔ ɫ t͡ʃ ɛ
фокусирање	f ɔ k u s i ɾ a ɲ ɛ
истретира	i s t r ɛ t i ɾ a
формат	f ɔ r m a t
хронично	x r ɔ n i t͡ʃ n ɔ
бунарски	b u n a r s k i
радување	r a d u v a ɲ ɛ
затворан	z a t v ɔ ɾ a n
лекторира	l ɛ k t ɔ r i ɾ a
шкрга	ʃ k r̩ ɡ a
отпремнина	ɔ t p r ɛ m n i n a
балтија	b a ɫ t i j a
сопартиец	s ɔ p a r t i j ɛ t͡s
стрви	s t r̩ v i
родовник	r ɔ d ɔ v n i k
раселување	r a s ɛ ɫ u v a ɲ ɛ
нагласоци	n a ɡ ɫ a s ɔ t͡s i
ригански	r i ɡ a n s k i
акнување	a k n u v a ɲ ɛ
забен	z a b ɛ n
неделегиран	n ɛ d ɛ l ɛ ɡ i ɾ a n
противвоспалителен	p r ɔ t i v v ɔ s p a l i t ɛ l ɛ n
змиесто	z m i j ɛ s t ɔ
пригода	p r i ɡ ɔ d a
бодовен	b ɔ d ɔ v ɛ n
одличие	ɔ d l i t͡ʃ i j ɛ
изгубен	i z ɡ u b ɛ n
симона	s i m ɔ n a
ќесиште	c ɛ s i ʃ t ɛ
ладничок	ɫ a d n i t͡ʃ ɔ k
судење	s u d ɛ ɲ ɛ
монтажен	m ɔ n t a ʒ ɛ n
бесчувствителност	b ɛ ʃ t͡ʃ u f s t v i t ɛ ɫ n ɔ s t
штампа	ʃ t a m p a
килимарски	k i l i m a r s k i
затреба	z a t r ɛ b a
доле	d ɔ l ɛ
избоден	i z b ɔ d ɛ n
обучување	ɔ b u t͡ʃ u v a ɲ ɛ
оживее	ɔ ʒ i v ɛ ɛ
церче	t͡s ɛ r t͡ʃ ɛ
доплаќа	d ɔ p ɫ a c a
лингвист	l i ŋ ɡ v i s t
одвлекува	ɔ d v l ɛ k u v a
акварел	a k v a r ɛ ɫ
пречекорен	p r ɛ t͡ʃ ɛ k ɔ ɾ ɛ n
излачен	i z ɫ a t͡ʃ ɛ n
парижанка	p a r i ʒ a ŋ k a
буричкање	b u r i t͡ʃ k a ɲ ɛ
намачкување	n a m a t͡ʃ k u v a ɲ ɛ
детергент	d ɛ t ɛ r ɡ ɛ n t
полов	p ɔ ɫ ɔ f
непропустлив	n ɛ p r ɔ p u s t l i f
соја	s ɔ j a
поткрепи	p ɔ t k r ɛ p i
кувајќанка	k u v a j c a ŋ k a
вовчиња	v ɔ f t͡ʃ i ɲ a
напумпан	n a p u m p a n
утрапува	u t r a p u v a
сомуниште	s ɔ m u n i ʃ t ɛ
феноменологија	f ɛ n ɔ m ɛ n ɔ ɫ ɔ ɡ i j a
крикне	k r i k n ɛ
побутнуван	p ɔ b u t n u v a n
драматизира	d r a m a t i z i ɾ a
катче	k a t t͡ʃ ɛ
гризли	ɡ r i z l i
државјанин	d r̩ ʒ a v j a n i n
земјотресение	z ɛ m j ɔ t r ɛ s ɛ n i j ɛ
женољубец	ʒ ɛ n ɔ ʎ u b ɛ t͡s
изместување	i z m ɛ s t u v a ɲ ɛ
свршеница	s v r̩ ʃ ɛ n i t͡s a
вливајќи	v l i v a j c i
гризови	ɡ r i z ɔ v i
иновативност	i n ɔ v a t i v n ɔ s t
ломејски	ɫ ɔ m ɛ j s k i
интересирање	i n t ɛ ɾ ɛ s i ɾ a ɲ ɛ
немрднување	n ɛ m r̩ d n u v a ɲ ɛ
ветрулиња	v ɛ t r u l i ɲ a
скинува	s k i n u v a
поцрнува	p ɔ t͡s r̩ n u v a
прогноза	p r ɔ ɡ n ɔ z a
запленување	z a p l ɛ n u v a ɲ ɛ
соговорници	s ɔ ɡ ɔ v ɔ r n i t͡s i
портири	p ɔ r t i ɾ i
плаштаница	p ɫ a ʃ t a n i t͡s a
маѓепсница	m a ɟ ɛ p s n i t͡s a
мариовски	m a r i j ɔ f s k i
отрезнуван	ɔ t r ɛ z n u v a n
онеми	ɔ n ɛ m i
хиперактивно	x i p ɛ r a k t i v n ɔ
машкоданка	m a ʃ k ɔ d a ŋ k a
расади	r a s a d i
таинствен	t a i n s t v ɛ n
песниче	p ɛ s n i t͡ʃ ɛ
пајки	p a j k i
багажници	b a ɡ a ʒ n i t͡s i
обелување	ɔ b ɛ ɫ u v a ɲ ɛ
непредложување	n ɛ p r ɛ d ɫ ɔ ʒ u v a ɲ ɛ
почетоци	p ɔ t͡ʃ ɛ t ɔ t͡s i
маторици	m a t ɔ ɾ i t͡s i
непрепречен	n ɛ p r ɛ p r ɛ t͡ʃ ɛ n
реагира	r ɛ a ɡ i ɾ a
писател	p i s a t ɛ ɫ
тестер	t ɛ s t ɛ r
монокл	m ɔ n ɔ k ɫ̩
телиња	t ɛ l i ɲ a
уметничиште	u m ɛ t n i t͡ʃ i ʃ t ɛ
атаман	a t a m a n
оригиналност	ɔ ɾ i ɡ i n a ɫ n ɔ s t
бушилка	b u ʃ i ɫ k a
нередовен	n ɛ r ɛ d ɔ v ɛ n
попречно	p ɔ p r ɛ t͡ʃ n ɔ
неофашизам	n ɛ ɔ f a ʃ i z a m
боровинки	b ɔ r ɔ v i ŋ k i
нагмечуван	n a ɡ m ɛ t͡ʃ u v a n
екипиче	ɛ k i p i t͡ʃ ɛ
недостижно	n ɛ d ɔ s t i ʒ n ɔ
напакостува	n a p a k ɔ s t u v a
расфрлен	r a s f r̩ l ɛ n
муцки	m u t͡s k i
спасител	s p a s i t ɛ ɫ
пегла	p ɛ ɡ ɫ a
милина	m i l i n a
трупци	t r u p t͡s i
поднаместен	p ɔ d n a m ɛ s t ɛ n
расчепка	r a ʃ t͡ʃ ɛ p k a
дволичност	d v ɔ l i t͡ʃ n ɔ s t
егзотичност	ɛ ɡ z ɔ t i t͡ʃ n ɔ s t
титриран	t i t r i ɾ a n
слива	s l i v a
поднесување	p ɔ d n ɛ s u v a ɲ ɛ
михаил	m i x a i ɫ
прешкрта	p r ɛ ʃ k r̩ t a
заофка	z a ɔ f k a
фиде	f i d ɛ
генитивен	ɡ ɛ n i t i v ɛ n
налупан	n a ɫ u p a n
лекувачки	l ɛ k u v a t͡ʃ k i
небо	n ɛ b ɔ
изнесуван	i z n ɛ s u v a n
карта	k a r t a
зачитување	z a t͡ʃ i t u v a ɲ ɛ
подзачешла	p ɔ d z a t͡ʃ ɛ ʃ ɫ a
забушува	z a b u ʃ u v a
воздивне	v ɔ z d i v n ɛ
легитимно	l ɛ ɡ i t i m n ɔ
вжештен	v ʒ ɛ ʃ t ɛ n
разменет	r a z m ɛ n ɛ t
монети	m ɔ n ɛ t i
класифициран	k ɫ a s i f i t͡s i ɾ a n
санмаринец	s a n m a r i n ɛ t͡s
мизогинија	m i z ɔ ɡ i n i j a
нематеријално	n ɛ m a t ɛ ɾ i j a ɫ n ɔ
челичана	t͡ʃ ɛ l i t͡ʃ a n a
разљуби	r a z ʎ u b i
раскршува	r a s k r̩ ʃ u v a
калуѓерки	k a ɫ u ɟ ɛ r k i
сврзувачки	s v r̩ z u v a t͡ʃ k i
поплочи	p ɔ p ɫ ɔ t͡ʃ i
прередување	p r ɛ ɾ ɛ d u v a ɲ ɛ
покриви	p ɔ k r i v i
неличење	n ɛ l i t͡ʃ ɛ ɲ ɛ
аорта	a ɔ r t a
перцептивен	p ɛ r t͡s ɛ p t i v ɛ n
обезименет	ɔ b ɛ z i m ɛ n ɛ t
полуготов	p ɔ ɫ u ɡ ɔ t ɔ f
бибер	b i b ɛ r
утрапен	u t r a p ɛ n
патешественик	p a t ɛ ʃ ɛ s t v ɛ n i k
легално	l ɛ ɡ a ɫ n ɔ
менаџерски	m ɛ n a d͡ʒ ɛ r s k i
автомеханичари	a f t ɔ m ɛ x a n i t͡ʃ a ɾ i
простичок	p r ɔ s t i t͡ʃ ɔ k
намрси	n a m r̩ s i
наденува	n a d ɛ n u v a
мјанмар	m j a n m a r
воочлив	v ɔ ɔ t͡ʃ l i f
пионерски	p i j ɔ n ɛ r s k i
преиспита	p r ɛ i s p i t a
џавкајќи	d͡ʒ a f k a j c i
сонцуле	s ɔ n t͡s u l ɛ
неварирање	n ɛ v a r i ɾ a ɲ ɛ
калуѓерство	k a ɫ u ɟ ɛ r s t v ɔ
оддуван	ɔ d d u v a n
пропушта	p r ɔ p u ʃ t a
видрин	v i d r i n
обеспокои	ɔ b ɛ s p ɔ k ɔ i
фркне	f r̩ k n ɛ
ненадоместливост	n ɛ n a d ɔ m ɛ s t l i v ɔ s t
италијанец	i t a l i j a n ɛ t͡s
индустријализира	i n d u s t r i j a l i z i ɾ a
масиште	m a s i ʃ t ɛ
несебично	n ɛ s ɛ b i t͡ʃ n ɔ
пукнат	p u k n a t
ергативен	ɛ r ɡ a t i v ɛ n
спечалуван	s p ɛ t͡ʃ a ɫ u v a n
стандардизиран	s t a n d a r d i z i ɾ a n
подмладува	p ɔ d m ɫ a d u v a
ревматологија	r ɛ v m a t ɔ ɫ ɔ ɡ i j a
прекинувач	p r ɛ k i n u v a t͡ʃ
изумуван	i z u m u v a n
класика	k ɫ a s i k a
крекер	k r ɛ k ɛ r
мустаќлија	m u s t a c l i j a
слепо	s l ɛ p ɔ
еклер	ɛ k l ɛ r
богобојазливост	b ɔ ɡ ɔ b ɔ j a z l i v ɔ s t
изгладнување	i z ɡ ɫ a d n u v a ɲ ɛ
кодоши	k ɔ d ɔ ʃ i
вклучување	f k ɫ u t͡ʃ u v a ɲ ɛ
срца	s r̩ t͡s a
лемурче	l ɛ m u r t͡ʃ ɛ
дизелаш	d i z ɛ ɫ a ʃ
изживее	i ʒ ʒ i v ɛ ɛ
поткастрен	p ɔ t k a s t r ɛ n
неполнење	n ɛ p ɔ ɫ n ɛ ɲ ɛ
тиквица	t i k v i t͡s a
кумановски	k u m a n ɔ f s k i
ископување	i s k ɔ p u v a ɲ ɛ
љубејќи	ʎ u b ɛ j c i
веѓа	v ɛ ɟ a
нераскревање	n ɛ ɾ a s k r ɛ v a ɲ ɛ
ха	x a
нептун	n ɛ p t u n
лепотан	l ɛ p ɔ t a n
осуши	ɔ s u ʃ i
недавање	n ɛ d a v a ɲ ɛ
поштеди	p ɔ ʃ t ɛ d i
мнт	m ə n ə t ə
наблажување	n a b ɫ a ʒ u v a ɲ ɛ
налетува	n a l ɛ t u v a
разбистрување	r a z b i s t r u v a ɲ ɛ
резервација	r ɛ z ɛ r v a t͡s i j a
разбоксиран	r a z b ɔ k s i ɾ a n
ласици	ɫ a s i t͡s i
здодеан	z d ɔ d ɛ a n
хашки	x a ʃ k i
добрка	d ɔ b r̩ k a
малибу	m a l i b u
ќуркин	c u r k i n
фамилииште	f a m i l i i ʃ t ɛ
електризира	ɛ l ɛ k t r i z i ɾ a
реинкарнација	r ɛ i ŋ k a r n a t͡s i j a
кисели	k i s ɛ l i
повеќејазичен	p ɔ v ɛ c ɛ j a z i t͡ʃ ɛ n
гадурија	ɡ a d u ɾ i j a
огон	ɔ ɡ ɔ n
идентификување	i d ɛ n t i f i k u v a ɲ ɛ
доминирање	d ɔ m i n i ɾ a ɲ ɛ
грбче	ɡ r̩ p t͡ʃ ɛ
поплави	p ɔ p ɫ a v i
полза	p ɔ ɫ z a
оксидиран	ɔ k s i d i ɾ a n
лексикограф	l ɛ k s i k ɔ ɡ r a f
телефон	t ɛ l ɛ f ɔ n
ремонтира	r ɛ m ɔ n t i ɾ a
заслепувачки	z a s l ɛ p u v a t͡ʃ k i
брунејски	b r u n ɛ j s k i
одбирање	ɔ d b i ɾ a ɲ ɛ
солитер	s ɔ l i t ɛ r
нашлакан	n a ʃ ɫ a k a n
училишен	u t͡ʃ i l i ʃ ɛ n
заврши	z a v r̩ ʃ i
електричарка	ɛ l ɛ k t r i t͡ʃ a r k a
здравка	z d r a f k a
содржина	s ɔ d r̩ ʒ i n a
криќанец	k r i c a n ɛ t͡s
згазнува	z ɡ a z n u v a
немаркирање	n ɛ m a r k i ɾ a ɲ ɛ
барајќи	b a r a j c i
падарче	p a d a r t͡ʃ ɛ
омажи	ɔ m a ʒ i
лансиран	ɫ a n s i ɾ a n
пиратство	p i ɾ a t s t v ɔ
господ	ɡ ɔ s p ɔ t
продавница	p r ɔ d a v n i t͡s a
дрнка	d r̩ ŋ k a
варвари	v a r v a ɾ i
подбуцне	p ɔ d b u t͡s n ɛ
камилски	k a m i ɫ s k i
натумпани	n a t u m p a n i
изнуден	i z n u d ɛ n
макроекономија	m a k r ɔ ɛ k ɔ n ɔ m i j a
заглавен	z a ɡ ɫ a v ɛ n
два	d v a
брцање	b r̩ t͡s a ɲ ɛ
прелудиум	p r ɛ ɫ u d i j u m
сопственост	s ɔ p s t v ɛ n ɔ s t
мировен	m i ɾ ɔ v ɛ n
разурнувачки	r a z u r n u v a t͡ʃ k i
шарки	ʃ a r k i
немонтиран	n ɛ m ɔ n t i ɾ a n
адмирали	a d m i r a l i
нелегализирање	n ɛ l ɛ ɡ a l i z i ɾ a ɲ ɛ
превид	p r ɛ v i t
фреска	f r ɛ s k a
колоквиум	k ɔ ɫ ɔ k v i j u m
повртен	p ɔ v r̩ t ɛ n
топи	t ɔ p i
тенисериште	t ɛ n i s ɛ ɾ i ʃ t ɛ
океан	ɔ k ɛ a n
безропотен	b ɛ z r ɔ p ɔ t ɛ n
паузира	p a u z i ɾ a
подробност	p ɔ d r ɔ b n ɔ s t
плуто	p ɫ u t ɔ
бројче	b r ɔ j t͡ʃ ɛ
калеидоскоп	k a l ɛ i d ɔ s k ɔ p
инквизиција	i ŋ k v i z i t͡s i j a
конзистентен	k ɔ n z i s t ɛ n t ɛ n
рожба	r ɔ ʒ b a
хлор	x ɫ ɔ r
добитничка	d ɔ b i t n i t͡ʃ k a
датотека	d a t ɔ t ɛ k a
закажуван	z a k a ʒ u v a n
истумба	i s t u m b a
љ	ʎ ə
просторија	p r ɔ s t ɔ ɾ i j a
вообразби	v ɔ ɔ b r a z b i
панел	p a n ɛ ɫ
поништен	p ɔ n i ʃ t ɛ n
богота	b ɔ ɡ ɔ t a
спрегнат	s p r ɛ ɡ n a t
патарини	p a t a ɾ i n i
сенф	s ɛ ɱ f
шугаво	ʃ u ɡ a v ɔ
правилник	p r a v i ɫ n i k
истекува	i s t ɛ k u v a
растуран	r a s t u ɾ a n
солена	s ɔ l ɛ n a
архиварство	a r x i v a r s t v ɔ
истоштуван	i s t ɔ ʃ t u v a n
источкан	i s t ɔ t͡ʃ k a n
преморува	p r ɛ m ɔ ɾ u v a
вѕидан	v d͡z i d a n
неизговорлив	n ɛ i z ɡ ɔ v ɔ r l i f
закрила	z a k r i ɫ a
цер	t͡s ɛ r
двоглав	d v ɔ ɡ ɫ a f
ангажман	a ŋ ɡ a ʒ m a n
преиспитува	p r ɛ i s p i t u v a
вика	v i k a
објективност	ɔ b j ɛ k t i v n ɔ s t
докачен	d ɔ k a t͡ʃ ɛ n
ет	ɛ t
скијање	s k i j a ɲ ɛ
отплеткување	ɔ t p l ɛ t k u v a ɲ ɛ
мумла	m u m ɫ a
заклатување	z a k ɫ a t u v a ɲ ɛ
беспримерност	b ɛ s p r i m ɛ r n ɔ s t
џамиште	d͡ʒ a m i ʃ t ɛ
противприродно	p r ɔ t i f p r i ɾ ɔ d n ɔ
’рмбање	r̩ m b a ɲ ɛ
доистребен	d ɔ i s t r ɛ b ɛ n
нестрадање	n ɛ s t r a d a ɲ ɛ
плико	p l i k ɔ
дневен	d n ɛ v ɛ n
натрапничка	n a t r a p n i t͡ʃ k a
кингстон	k i ŋ k s t ɔ n
шампион	ʃ a m p i ɔ n
штурмовик	ʃ t u r m ɔ v i k
непамтење	n ɛ p a m t ɛ ɲ ɛ
шкотски	ʃ k ɔ t s k i
заљубува	z a ʎ u b u v a
фокусен	f ɔ k u s ɛ n
поротен	p ɔ ɾ ɔ t ɛ n
привилегија	p r i v i l ɛ ɡ i j a
филмаџии	f i ɫ m a d͡ʒ i i
зграпчен	z ɡ r a p t͡ʃ ɛ n
долготрајно	d ɔ ɫ ɡ ɔ t r a j n ɔ
здружен	z d r u ʒ ɛ n
шаманка	ʃ a m a ŋ k a
распојаса	r a s p ɔ j a s a
годи	ɡ ɔ d i
дисахарид	d i s a x a r i t
соговорник	s ɔ ɡ ɔ v ɔ r n i k
бигоросување	b i ɡ ɔ ɾ ɔ s u v a ɲ ɛ
јува	j u v a
пливање	p l i v a ɲ ɛ
пљукање	p ʎ u k a ɲ ɛ
суеверие	s u ɛ v ɛ ɾ i j ɛ
североисточен	s ɛ v ɛ ɾ ɔ i s t ɔ t͡ʃ ɛ n
трезно	t r ɛ z n ɔ
резистентно	r ɛ z i s t ɛ n t n ɔ
никозијка	n i k ɔ z i j k a
изгонување	i z ɡ ɔ n u v a ɲ ɛ
оцрни	ɔ t͡s r̩ n i
гоштева	ɡ ɔ ʃ t ɛ v a
возмутување	v ɔ z m u t u v a
гледан	ɡ l ɛ d a n
несплескан	n ɛ s p l ɛ s k a n
жанр	ʒ a n r̩
пилана	p i ɫ a n a
гостување	ɡ ɔ s t u v a ɲ ɛ
потекнување	p ɔ t ɛ k n u v a ɲ ɛ
паника	p a n i k a
негенериран	n ɛ ɡ ɛ n ɛ r i ɾ a n
гасеничар	ɡ a s ɛ n i t͡ʃ a r
нацеди	n a t͡s ɛ d i
глаголивост	ɡ ɫ a ɡ ɔ l i v ɔ s t
зрел	z r ɛ ɫ
дрвце	d r̩ f t͡s ɛ
толчник	t ɔ ɫ t͡ʃ n i k
нештетен	n ɛ ʃ t ɛ t ɛ n
нуакшотјанка	n u a k ʃ ɔ t j a ŋ k a
уличен	u l i t͡ʃ ɛ n
мотан	m ɔ t a n
манијачен	m a n i j a t͡ʃ ɛ n
крштевка	k r̩ ʃ t ɛ f k a
проклитичен	p r ɔ k l i t i t͡ʃ ɛ n
одговор	ɔ d ɡ ɔ v ɔ r
атар	a t a r
непокорност	n ɛ p ɔ k ɔ r n ɔ s t
бароници	b a r ɔ n i t͡s i
склучен	s k ɫ u t͡ʃ ɛ n
мисионерка	m i s i j ɔ n ɛ r k a
лаен	ɫ a ɛ n
хибридно	x i b r i d n ɔ
серолошки	s ɛ r ɔ ɫ ɔ ʃ k i
тапиран	t a p i ɾ a n
прикаска	p r i k a s k a
неотплатен	n ɛ ɔ t p ɫ a t ɛ n
регионализам	r ɛ ɡ i j ɔ n a l i z a m
