देवनागरी	d̪eʋnɑɡɑri
देवालय	d̪ e b ä l ʌ j
वारुणयन्त्र	b ä r u n j ʌ n ʈ r
धर्मशास्त्र	d̪ʱ ʌ r m ʃ ä s t̪ r
तिर्सना	t̪ i r s n ä
गिरावट	ɡ i r ä b ʌ ʈ
खराखर	kʰ ʌ r ä kʰ ʌ r
अन्तर्ध्वंस	ʌ n t̪ ʌ r dʱ ʋ ʌ̃ s
झिँगो	d͡zʱ i ŋ ɡ o

    पाउँ	paʊ̃
पेटिका	pɛʈika
वाक्यरचना	vaːkjɾat͡ʃanaː
एक्युपङ्चर	ɛkjupaŋt͡ʃar
निस्कासन	niskaːsan
अड्कल्	aɖkal
थिमी	ʈhimiː
थाह	ʈhaːh
खिस्सा	khissaː
लेखापरीक्षण	lɛkhaːpariːkʃaɳ
ढिलो	ɖhilo
चटक	t͡ʃaʈak
पिनास	pinaːs
चौतीसौं	t͡ʃautiːsaʊ̃
फट्याङ्ग्रो	phaʈjaŋgro
ठोस	ʈhos
कोप्रि	kopri
किर्नु	kirnu
कपी	kapiː
प्रसिद्ध	prasid̪d̪h
कुञ्‍ज	kuɲd͡ʒ
गुमराह	gumaraːh
वैधीकरण	vaid̪hiːkaraɳ
जस्ता	d͡ʒastaː
मुक्ति	mukti
परिदृश्य	paridr̩ʃj
तार्	taːr
अंशुवर्मा	ãʃuvarmaː
पिँद्	pind
चौतीस	t͡ʃautiːs
अपेक्षणीय	apɛkʃaɳiːj
खोर्‍याउ	khorjaʊ
द्वीप	dviːp
सितन	sitan
मतान्तर	matanʈar
म्याट्रिक्स	mjaːʈriks
कस्केली	kaskeliː
आभासित	aːbhaːsit
अफलाइन	aphalain
कर्कशता	karkaʃataː
आरोहण	aːrohaɳ
तदपि	tadapi
एत्तेरी	ɛʈʈeriː
टुङ्‍ना	ʈuŋnaː
लिगलिगे	ligalige
आराम	aːraːm
बलाघात	balaːghaːt
गढी	gaɖhiː
टुकटुकती	ʈukaʈukaʈiː
जिउ	d͡ʒiu
गोर्खाली	ɡ o r kʰ aː l i
चिउँडो	t͡ʃ i ũ ɖ o
बहुदल	b ʌ ɦ u d ʌ l
क्षत	kʂ ʌ t
गणेशपुर	ɡ ʌ ɳ e ʃ p u r
शिलापत्र	ʃ i l aː p ʌ t r
माइक्रोप्रोसेसर	m aː i k r o p r o s e s ʌ r
वेबफोल्डर	b e b pʰ o l ɖ ʌ r
बँदिया	b ã d i j aː
लिपित्त	l i p i t t
थान	tʰ aː n
कथञ्चित्	k ʌ tʰ ʌ ɲ t͡ʃ i t
लगत्तै	l ʌ ɡ ʌ t t aː i
औचित्य	ɔ t͡ʃ i t j ʌ
आस	aː s
विधायक	b i dʱ aː j ʌ k
खेप्	kʰ e p
उपहासक	u p ʌ ɦ aː s ʌ k
गजब	ɡ ʌ d͡ʒ ʌ b
हाइटी	ɦ aː i t iː
चन्द्रमुखी	t͡ʃ ʌ n d r ʌ m u kʰ iː
मनाङ	m ʌ n aː ŋ
थुतुनो	tʰ u t u n o
पूर्णविराम	p uː r ɳ ʋ i r aː m
पाउलो	p aː u l o
उच्चस्तरीय	u t͡ʃ t͡ʃ ʌ s t ʌ r i j ʌ
चमचाम	t͡ʃ ʌ m t͡ʃ aː m
सामा	s aː m aː
अङ्गीकृत	ʌ ŋ ɡ iː k r i t
पजेरो	p ʌ d͡ʒ e r o
बोतल	b o t ʌ l
परपरि	p ʌ r p ʌ r i
किनार	k i n aː r
नागार्जुन	n aː ɡ aː r d͡ʒ u n
भैँसी	bʱ aː ĩ s iː
पट्याउ	p ʌ ʈ j aː u
ठकठकी	ʈʰ ʌ k ʈʰ ʌ k iː
भुँडल्लो	bʱ ũ ɖ ʌ l l o
यथा	j ʌ tʰ aː
शारदा	ʃ aː r ʌ d aː
झेलाहा	d͡ʒʱ e l aː ɦ aː
लम्चि	l ʌ m t͡ʃ i
भिउँट	bʱ i ũ ʈ
रामेश्वर	r aː m e ʃ ʋ ʌ r
कस्तो	k ʌ s t o
दिक्तेल	d i k t e l
भोजपुर	bʱ o d͡ʒ p u r
गधा	ɡ ʌ dʱ aː
सुनुवाइ	s u n u ʋ aː i
झङ्कारित	d͡ʒʱ ʌ ŋ k aː r i t

    सुविधा	s u v i dʱ ä
ब्यबहार	b j ʌ b ʌ ɦ ä r
खैँच	kʰ ʌ̃ t͡ʃ
धतुलाउ	dʱ ʌ t̪ u l ä u
दुर्दशा	d u r d ʌ ʃ ä
क्विन्टल	k v i n t̪ l
उज्ज्वलित	u d͡ʒ d͡ʒ w ʌ l i t̪
सुलसुल	s u l s u l
क्याल्सीयम	k j ä l s i j ʌ m
जिल्ला	d͡ʒ i l l ä
प्लेग	p l e ɡ
बेच्	b e t͡ʃ
मोजा	m o d͡ʒ ä
खकार्	kʰ ʌ k ä r
पूर्व	p u r v
पलट्ट	p ʌ l ʌ t̪ t̪
एकाह	e k ä ɦ
विम्बविधान	v i m b ʌ v i dʱ ä n
संसाधन	s ʌ̃ s ä dʱ ʌ n
उत्प्रेक्षक	u t̪ p r e kʃ ʌ k
सोपान	s o p ä n
भक्खर	bʱ ʌ kʰ ʌ r
उद्यम	u d j ʌ m
छलित	t͡ʃʰ ʌ l i t̪
जटे	d͡ʒ ʌ t̪ e
आँक	ä̃ k
भसाभस	bʱ ʌ s ä bʱ ʌ s
इमानदारी	i m ä n ʌ d ä r i
मड्क	m ʌ d̪ k
कुस्तुर	k u s t̪ u r
थान	t̪ʰ ä n
कुँदुवा	k ũ̯ d u v ä
कार्यरथी	k ä r j ʌ r ʌ t̪ʰ i
कलसाउँदो	k ʌ l s ä ũ̯ d o
ढाँड	ɖʱ ä̃ ɖ
खुम्बु	kʰ u m b u
अविजित	ʌ v i d͡ʒ i t̪
कर्कट	k ʌ r k ʌ t̪
उनन्‍तीस	u n ʌ n t̪ i s
सदा	s ʌ d ä
मिल्नु	m i l n u
ट्रेडिङ	t̪ r e d i ŋ
भन्दा	bʱ ʌ n d ä
बत्ती	b ʌ t̪ t̪ i
फुटवेयर	pʰ u t̪ v e j ʌ r
इच्छापत्र	i t͡ʃʰ ä p ʌ t̪ r
ओछो	o t͡ʃʰ o
एनान	e n ä n
हग्	ɦ ʌ ɡ
थपाइ	t̪ʰ ʌ p ä i
गुणहीन	ɡ u ɳ ɦ iː n
आन्तरिक	ɑː n t̪ ʌ r i k
मालिक	m ɑː l i k
छट	t͡ʃʰ ʌ t̪
ककनी	k ʌ k ʌ n i
पस्मिना	p ʌ s m i n ɑː
चौतीस	t͡ʃ ɔː t̪ iː s
मैलो	m ʌ i l o
ऐन्द्रकूट	ʌ i n d̪ r ʌ k uː t̪
गेगरान	ɡ e ɡ ʌ r ɑː n
सुम्लो	s u m l o
सतिसाल	s ʌ t̪ i s ɑː l
रसना	r ʌ s n ɑː
अकाल	ʌ k ɑː l
जयस्थिति	d͡ʒ ʌ j ʌ s t̪ʰ i t̪ i
रफ्तार	r ʌ f t̪ ɑː r
बाटोघाटो	b ɑː t̪ o ɡʱ ɑː t̪ o
मनिब्याग	m ʌ n i b j ɑː ɡ
झलझल	d͡ʒʱ ʌ l d͡ʒʱ ʌ l
खौवा	kʰ ɔː v ɑː
चिन्ताकुल	t͡ʃ i n t̪ ɑː k u l
खलनायक	kʰ ʌ l n ɑː j ʌ k
कार्यदल	k ɑː r j ʌ d ʌ l
कट्टु	k ʌ t̪ t̪ u
सिंहासन	s i ŋ ɦ ɑː s ʌ n
मर्चेन्ट	m ʌ r t͡ʃ e n t̪
मिलिसिया	m i l i s i j ɑː
कुञ्जी	k u ɲ d͡ʒ i
ट्युब	t̪ j u b
प्रमाणपत्र	p r ʌ m ɑː ɳ p ʌ t̪ r
ताण्डव	t̪ ɑː ɳ d̪ ʌ v
मोज	m o d͡ʒ
खस्क	kʰ ʌ s k
भुटान	bʱ u t̪ ɑː n
तमोर	t̪ ʌ m o r
कान्तिमान्	k ɑː n t̪ i m ɑː n
निशान	n i ʃ ɑː n
ट्रयाकबल	t̪ r j ɑː k ʌ b ʌ l
सिमसार	s i m s ɑː r
दैनिकी	d̪ ʌ i n i k i
पार्टी	p ɑː r t̪ iː
डिसेम्बर	d̪ i s e m b ʌ r
एकसट्ठी	e k s ʌ t̪ t̪ʰ iː
भ्यार्र	bʱ j ɑː r r
ख्याल	kʰ j ɑː l
थेग्	t̪ʰ e ɡ
विद्यावारिधि	v i d̪ j ɑː v ɑː r i d̪ʱ i
हाल्लहुल्ल	ɦ ɑː l l ʌ h u l l
बाइनरी	b ɑː i n ʌ r i
फट्याङ्ग्रो	f ʌ t̪ j ɑː ŋ ɡ r o
जुस	d͡ʒ u s
फाल	pʰ ä l
बुधुना	b u d̪ʱ u n ä
तत्त्व	t̪ ʌ t̪ t̪ʋ
भक्तिमान	bʱ ʌ k̚ t̪ i m ä n
घिनाहा	ɡʱ i n ä ɦ ä
असुरक्षा	ʌ s u r ʌ kʃ ä
आशाकारी	ä ʃ ä k ä r i
कलमजीवी	k ʌ l ʌ m d͡ʒ i ʋ i
जस्तो	d͡ʒ ʌ s t̪ o
बाण	b ä ɳ
कप्ल्याककुप्लुक्क	k ʌ p l j ä k ʌ k u p l u k̚ k
कन्डक्टर	k ʌ n̪ ɖ ʌ k t̪ ʌ r
कलकलाउँदो	k ʌ l ʌ k ʌ l ä u̯ n̪ d o
बछेडा-बछेडी	b ʌ t͡ʃʰ e ɖ ä - b ʌ t͡ʃʰ e ɖ i
उल्लसित	u l l ʌ s i t̪
साँघी	s ä̃ ɡʱ i
छप्प	t͡ʃʰ ʌ p p
थाल्नी	t̪ʰ ä l n i
ज्वालामुखी	d͡ʒ ʋ ä l ä m u kʱ i
चमचाम	t͡ʃ ʌ m ʌ t͡ʃ ä m
रुढी	r u ɖʱ i
रहनसहन	r ʌ ɦ ʌ n ʌ s ʌ ɦ ʌ n
सियाँल	s i j ä̃ l
जैरे	d͡ʒ ä i r e
असबल्ले	ʌ s ʌ b ʌ l l e
कार्बन	k ä r b ʌ n
डफ्फा	ɖ ʌ f f ä
विवश	ʋ i ʋ ʌ ʃ
भुपाल	bʱ u p ä l
निवृत्त	n i ʋ ɾ i t̪ t̪
त्यहीँ	t̪ j ʌ ɦ ĩ
मर्चेन्ट	m ʌ r t͡ʃʰ e n̪ t̪
थासो	t̪ʰ ä s o
चित	t͡ʃ i t̪
थाप्	t̪ʰ ä p
विघटन	ʋ i ɡʱ ʌ t̪ ʌ n
चुच्चेनङ्ग्रा	t͡ʃ u t͡ʃʰ e n ʌ ŋ ɡ r ä
जोइले	d͡ʒ o i l e
खपटे	kʰ ʌ p ʌ t̪ e
उफर्पाफर	u pʰ ʌ r p ä pʰ ʌ r
अणु	ʌ ɳ u
मध्यस्थता	m ʌ d̪ʱ j ʌ s t̪ʰ ʌ t̪ ä
रोकाया	r o k ä j ä
राजगद्दी	r ä d͡ʒ ʌ ɡ ʌ d̪ d i
गुरगुरी	ɡ u r ɡ u r i
तन	t̪ ʌ n
तसै	t̪ ʌ s ä i
ख्याति	kʰ j ä t̪ i
पूर्ण	p u r ɳ
ग्लानि	ɡ l ɑː n i
आत्मग्लानि	ɑː t m ɡ l ɑː n i
उच्छिन्न	u t͡ʃʰ i n n
मोजा	m o d͡ʒ ɑː
बिल्टो	b i l t o
झुट्ट	d͡ʒʱ u t t
हालसाल	ɦ ɑː l s ɑː l
सीता	s iː t ɑː
चोक्रे	t͡ʃ o k r e
जङ्गम	d͡ʒ ʌ ŋ ɡ ʌ m
आगा	ɑː ɡ ɑː
कनचिरा	k ʌ n ʌ t͡ʃ i r ɑː
कामधेनु	k ɑː m ʌ dʱ e n u
बग्रेन	b ʌ ɡ r e n
लाद्	l ɑː d
भरभित्तो	bʱ ʌ r bʱ i t t o
राम	r ɑː m
छुमछुम	t͡ʃʰ u m ʌ t͡ʃʰ u m
ड्रामा	ɖ r ɑː m ɑː
लोपचिह्न	l o p ʌ t͡ʃ i ɦ n
खेप्	kʰ e p
फकिर	pʰ ʌ k i r
सिँगारु	s i ŋ ɡ ɑː r u
नङ्ङि	n ʌ ŋ ɡ i
घोक्	ɡʱ o k
वात्सल्य	v ɑː t s ʌ l j ʌ
उपाय	u p ɑː j
कृयाकलाप	k r i ɑː k ʌ l ɑː p
क्रियाकलाप	k r i ɑː k ʌ l ɑː p
सेक्टर	s e k t ʌ r
वेबफोल्डर	v e b pʰ o l ɖ ʌ r
केशव	k e ʃ ʌ v
वर्काइफर्काइ	v ʌ r k ɑː i f ʌ r k ɑː i
तुलजा	t u l d͡ʒ ɑː
बियाउ	b i j ɑː u
उहुँ	u ɦ u ŋ
च्यान्टो	t͡ʃ j ɑː n t o
गुन्डा	ɡ u n ɖ ɑː
फट्ट	pʰ ʌ t t
सुरेन्द्र	s u r e n d r ʌ
समारोह	s ʌ m ɑː r o ɦ
गतिहारा	ɡ ʌ t i ɦ ɑː r ɑː
आमुन्नेसामुन्ने	ɑː m u n n e s ɑː m u n n e
सिराहा	s i r ɑː ɦ ɑː
तेक्वान्दो	t e k v ɑː n d o
अडाउ	ʌ ɖ ɑː u
लौरी	l aʊ r i
लुँडे	l u ŋ ɖ e
आविभूर्त	ɑː v i bʱ uː r t
आर्वर	ɑː r v ʌ r

    सम्भार	s ʌ m bʱ ä r
अप्रिय	ʌ p r i j
छुट्टा	t͡sʰ u ʈ ʈ ä
प्रतिदिन	p r ʌ t̪ i d̪ i n
कामयाब	k ä m j ä b
क्रियायोग	k r i j ä j o ɡ
मिलाप	m i l ä p
विधायक	b i d̪ʱ ä j ʌ k
बाउसे	b ä u s e
इन्टेल	i n ʈ e l
घ्याम्पे	ɡʱ j ä m p e
गजेन्द्र	ɡ ʌ d͡z e n d̪ r
एकसट्ठी	e k ʌ s ʈ ʈʰ i
खानदानी	kʰ ä n ʌ d̪ ä n i
अनसन	ʌ n ʌ s ʌ n
खै	kʰ ä i
ल्याफल्याफती	l j ä f l j ä f ʌ t̪ i
उतर्सि	u t̪ ʌ r s i
हात-हालाहाल	ɦ ä t̪ - ɦ ä l ä ɦ ä l
दमन	d̪ ʌ m ʌ n
खाँदिलो	kʰ ä̃ d̪ i l o
अतिक्रमण	ʌ t̪ i k r ʌ m ʌ n
गन्धर्व	ɡ ʌ n d̪ʱ ʌ r b
ख्याक्क	kʰ j ä k̚ k
समवाय	s ʌ m ʌ b ä j
सत्याग्रह	s ʌ t̪ j ä ɡ r ʌ ɦ
अनरसा	ʌ n ʌ r ʌ s ä
घाँस	ɡʱ ä̃ s
थिच्	ʈʰ i t͡s
अविचल	ʌ b i t͡s ʌ l
कमेन्ट	k ʌ m e n ʈ
लोकप्रियता	l o k p r i j ʌ t̪ ä
हरहर	ɦ ʌ r ɦ ʌ r
अनत	ʌ n ʌ t̪
फोटो	pʰ o ʈ o
दपेट्	d̪ ʌ p e ʈ
थान	ʈʰ ä n
रुद्री	r u d̪ r i
झूटो	d͡zʱ u ʈ o
अतर्कित	ʌ t̪ ʌ r k i t̪
करेट्	k ʌ r e ʈ
बढ्	b ʌ d̪ʱ
जिरिङ्ग	d͡z i r i ŋ ɡ
झाँगड	d͡zʱ ä̃ ɡ ʌ d̪
सिप्किनु	s i p k i n u
अक्षांश	ʌ kʂ ä̃ ʂ
गुम्क्र्याउ	ɡ u m k r j ä u
तिब्बत	t̪ i b b ʌ t̪
परिवहन	p ʌ r i b ʌ ɦ ʌ n
आहुत	ä ɦ u t̪
विजयोत्सव	v i d͡z j o t̪ s ʌ b
दन्तशूल	d̪ ʌ n̪ t̪ ʃ u l
लहना	l ʌ ɦ n ä
खारि	kʰ ä r i
स्वज्ञान	s ʋ ʌ d͡z ɲ ä n
कार्यशैली	k ä r j ʃ ä l i
रफ्तार	r ʌ f t ä r
अनुक्रमण	ʌ n u k r ʌ m ʌ n
पाँडे	p ä̃ ɖ e
सावा	s ä ʋ ä
अनुसार	ʌ n u s ä r
चिहान	t͡ʃ i ɦ ä n
चुइँकने	t͡ʃ u ĩ k n e
लौत	l ʌ u t
थुप्रा	t̪ʰ u p r ä
ऋजु	r i d͡z u
नर्सिङ	n ʌ r s i ŋ
थुर्	t̪ʰ u r
फिर्क	pʰ i r k
मूल	m u l
मुसल	m u s ʌ l
तरखर	t̪ ʌ r kʰ ʌ r
चुकुल	t͡ʃ u k u l
कीर्तिशाली	k i r t̪ i ʃ ä l i
ढुकढुकी	ɖʱ u k ɖʱ u k i
वाङ्‍मय	ʋ ä ŋ m ʌ j
आदिवासी	ä ʌ d̪ i ʋ ä s i
क्यानभास	k j ä n ʌ bʱ ä s
चयन	t͡ʃ ʌ j ʌ n
सनातन	s ʌ n ä t̪ ʌ n
मुगलान	m u ɡ ʌ l ä n
त्रिहत्तर	t̪ r i ɦ ʌ t̪ t̪ ʌ r
दरी	d̪ ʌ r i
गमनीय	ɡ ʌ m ʌ n i j
प्रमोद	p r ʌ m o d̪
रिसोर्ट	r i s o r t̪
टेलिभिजन	ʈ e l i bʱ i d͡z ʌ n
पद्यनाटक	p ʌ d̪ j ʌ n ä ʈ ʌ k
उद्‌गार	u d̪ ɡ ä r
कर्णफूल	k ʌ r ɳ ʌ pʰ u l
धर्मशास्त्र	d̪ʱ ʌ r m ʃ ä s t̪ r
वनभूमि	ʋ ʌ n ʌ bʱ u m i
धड्काइ	d̪ʱ ʌ ɖ k ä i
उम्र	u m r
त्रिचन्द्र	t̪ r i t͡ʃ ʌ n̪ d̪ r
डेरी	ɖ e r i
गद्दा	ɡ ʌ d̪ d̪ ä
ठोस	ʈʰ o s
दीप्‍ति	d̪ i p t̪ i
खुम्रि	kʰ u m r i

    चुइँकने	t͡ʃ u ĩ k n e
बजिर	b ʌ d͡ʒ i r
वृद्ध	b ɾ i d̪ːʱ
खौवा	kʰ ɔ u̯ ʋ ä
अभ्यर्थना	ʌ bʱ j ʌ r t̪ʰ n ä
नब्बे	n ʌ bː e
अपुङ्गी	ʌ p u ŋ g i
आस्वादक	ä s ʋ ä d ʌ k
झट्याक	d͡zʱ ʌ t̪ j ä k
लडे	l ʌ d̪ e
जोइले	d͡ʒ o i l e
घिनलाग्दो	ɡʱ i n l ä ɡ̞ d̪ o
सारौँ	s ä r ɔ̃
मनोभावना	m ʌ n o bʱ ä ʋ n ä
साहा	s ä ɦ ä
पहिचान्	p ʌ ɦ i t͡ʃ ä n
खानपान	kʰ ä n p ä n
खस्राङखुस्रुङ	kʰ ʌ s r ä ŋ kʰ u s r u ŋ
झूर	d͡zʱ u r
अजय	ʌ d͡ʒ ʌ j
बेथे	b e t̪ʰ e
बेमज्जा	b e m ʌ d͡ʒː ä
फाट्टफुट्ट	pʰ ä t̪ː pʰ u t̪ː
चेकपोस्ट	t͡ʃ e k ʌ p o s t̪
टकटका	t̪ ʌ k t̪ ʌ k ä
एक्लोपन	e k l o p ʌ n
राजेश	r ä d͡ʒ e ʃ
विशालबजार	b i ʃ ä l b ʌ d͡ʒ ä r
मारुनी	m ä r u n i
अन्योन्याश्रित	ʌ n j o n j ä ʃ r i t̪
चिन्हारु	t͡ʃ i n̪ ɦ ä r u
परुत्	p ʌ r u t̪
दनक	d̪ ʌ n ʌ k
शासनपतन्त्र	ʃ ä s ʌ n p ʌ t̪ ʌ n t̪ r
पुरस्कार	p u r ʌ s k ä r
साँबी	s ä̃ b i
मुना	m u n ä
फारु	pʰ ä r u
कार्यरथी	k ä r j ʌ r ʌ t̪ʰ i
भूउपग्रह	bʱ u u p ʌ ɡ r ʌ ɦ
ठूली	t̪ʰ u l i
मनुष्य	m ʌ n u ʃ j
फुटर	pʰ u t̪ ʌ r
बेल्ट	b e l t̪
खुल्	kʰ u l
सुन्नि	s u n n i
सरि	s ʌ r i
अदृश्य	ʌ d̪ r ʃ j
बैगुन	b ä i ɡ u n
उप-मार्ग	u p m ä r ɡ
रामकुमारी	r ɑː m k uː m ɑː r iː
जफत	j ʌ f ʌ t
उड्डयन	uː ɖː ʌ j ʌ n
सम्भोग	s ʌ m bʱ oː ɡ
अप्रिय	ʌ p r iː j
अल्पस्मृति	ʌ l p s ʌ m r̩ t iː
तन्दा	t ʌ n d ɑː
सिधेनुन	s iː dʱ eː n uː n
दुरावस्था	d uː r ɑː v ʌ s tʰ ɑː
झुर्र	ʤʱ uː r r
जिस्क	j iː s k
अपुङ्गी	ʌ p uː ŋ g iː
आक्रामक	ɑː k r ɑː m ʌ k
छान	tʃʰ ɑː n
घटिका	ɡʱ ʌ t iː k ɑː
खलनायक	kʰ ʌ l n ɑː j ʌ k
कुमारीपन	k uː m ɑː r iː p ʌ n
सभा	s ʌ bʱ ɑː
जलाम्मे	j ʌ l ɑː m m eː
झिम्रे	ʤʱ iː m r eː
धनसम्पत्ति	dʱ ʌ n s ʌ m p ʌ t t iː
खुर्क	kʰ uː r k
गणतन्त्री	ɡ ʌ n t ʌ n t r iː
दनदन	d ʌ n ʌ d ʌ n
आखिरी	ɑː kʰ iː r iː
खोजी	kʰ oː ʤ iː
फुलिस्केप	f uː l iː s k eː p
राजनेता	r ɑː ʤ n eː t ɑː
चलन	tʃ ʌ l ʌ n
एकजीउ	eː k ʌ ʤ iː uː
हेडर	ɦ eː ɖ r
सिरिङ्ङ	s iː r iː ŋ ŋ
घडघडे	ɡʱ ʌ ɖ ɡʱ ʌ ɖ eː
अगम्य	ʌ ɡ ʌ m j ʌ
बेकाम	b eː k ɑː m
खबटो	kʰ ʌ b ʌ t oː
अप्रधान	ʌ p r ʌ dʱ ɑː n
सराप	s ʌ r ɑː p
क्रियाकलाप	k r iː j ɑː k ʌ l ɑː p
खिस्सा	kʰ iː s s ɑː
आनन्दित	ɑː n ʌ n d iː t
जनशक्ति	ʤ ʌ n ʃ ʌ k t iː
गउँत	ɡ ʌ uː n t
आँखीभुईँ	ɑː ŋ kʰ iː bʱ uː iː ŋ
कपोत	k ʌ p oː t
वाञ्छना	v ɑː ɲ tʃʰ n ɑː
चाट्	tʃ ɑː t
कखौतो	k ʌ kʰ ʌ uː t oː
भ्वाँक	bʱ v ɑː ŋ k
जटे	ʤ ʌ t eː
उपाय	u p aː j
मुद्दा	m u d̪ d̪ aː
पोल्टो	p o lʈ o
आलमारी	aː l m aː r i
बलदेव	b a l d̪ eː ʋ
यथा	j a t̪ʰ aː
बाबुआमा	b aː b u aː m aː
इन्डिया	i n̪ ɖ i j aː
भरभित्तो	bʱ a r bʱ i t̪ʰ o
उपहार	u p aː ɦ aː r
त्रिवेणी	t̪ r i ʋ eː ɳ iː
अनुशासित	a n u ʃ aː s i t̪
गुहार	ɡ u ɦ aː r
पञ्चैती	p a ɲ t͡ʃ aɪ t̪ iː
योञ्जन	j o ɲ d͡ʒ n̪
अनुपमेय	a n u p m eː j
प्रवर्तन	p r ʋ a r t̪ n̪
नमुना	n a m u n aː
असन्तुलन	a s n̪ t̪ u l n̪
क्यारेक्टर	k j aː r eː kʈ ə r
आस	aː s
अवतरण	a ʋ t̪ r ɳ
चारित्र	t͡ʃ aː r i t̪ r
चिउँडो	t͡ʃ i ũ ɖ o
सपक्क	s p k k
प्रदर्शनकारी	p r d̪ ə r ʃ n̪ k aː r i
सरदार	s r d̪ aː r
अमलबाज	a m l b aː d͡ʒ
थाप्ला	t̪ʰ aː p l aː
कुशासन	k u ʃ aː s n̪
अधमरो	a d̪ʱ m r o
रण	r ɳ
ठिङुरि	ʈʰ i ŋ u r i
आक्रान्त	aː k r aː n̪ t̪
उवासंघ	u ʋ aː s ŋ̊ ɡʱ
कुशलता	k u ʃ l t̪ aː
इथर	i t̪ʰ r
अविभाज्य	a ʋ i bʱ aː d͡ʒ j
कुक्रुक्क	k u k r u k k
अदृष्टपूर्व	a d̪ r ʂʈ p uː r ʋ
ज्ञानवरणीय	d͡ʒ ɲ aː n̪ ʋ r ɳ iː j
थेगो	t̪ʰ eː ɡ o
कुटकी	k uʈ k iː
उचाइ	u t͡ʃ aː i
बालाजु	b aː l aː d͡ʒ u
हीनता	ɦ iː n̪ t̪ aː
ओझेल	o d͡ʒʱ eː l
मानवजाति	m aː n̪ ʋ d͡ʒ aː t̪ i
चलुवा	t͡ʃ l u ʋ aː
तन	t̪ n̪

    लेखापरीक्षण	l e kʰ ɑ p ɑ r i kʃ ɑ n
सालो	s ɑː l o
अग्रिम	ʌ ɡ r i m
हृदय	ɦ ɾ i d ʌ j
ज्वान	ʤ w ɑː n
राष्ट्रनायक	r ɑː ʃ t̪ r ɳ ɑː j ʌ k
इन्कार	i n k ɑː r
छादित	t͡ʃʰ ɑː d i t
विघटन	b i ɡʱ ʌ t̪ ʌ n
तागत	t ɑː ɡ ʌ t
टसक्क	ʈ s ʌ k k
अम्बुज	ʌ m b u ʤ
बिमाख	b i m ɑː kʰ
मालिका	m ɑː l i k ɑː
झस्का	ʤʱ ʌ s k ɑː
टपरे	ʈ p ʌ r e
सावधान	s ɑː w ʌ dʱ ɑː n
हन्न	ɦ ʌ n ʌ
हाइटी	ɦ ɑː i ʈ iː
आगो	ɑː ɡ o
आभ्यास	ɑː bʱ j ɑː s
थु:	ʈʰ uː
उछिनपाछिन	u t͡ʃʰ i n p ɑː t͡ʃʰ i n
तोड	t o ɖ
च्वास्स	t͡ʃ w ɑː s s
आश्रम	ɑː ʃ r ʌ m
माहुर	m ɑː ɦ u r
होचि	ɦ o t͡ʃ i
टेस्टट्युब	ʈ e s ʈ ʈ j u b
ब्रह्‍मर्षि	b r ʌ ɦ m ʌ r ʃ i
स्वेच्छ्या	s w e t͡ʃʰ ʧʰ j ɑː
ब्यबहार	b j ʌ b ʌ ɦ ɑː r
योञ्जन	j o ɲ ʤ ʌ n
ढेडु	ɖʱ e ɖ u
सुका	s u k ɑː
छ्‌वाँके	t͡ʃʰ w ɑ̃ k e
देवर्षि	d e b ʌ r ʃ i
रकाबी	r ʌ k ɑː b i
उदयोन्मुख	u d ʌ j o n m u kʰ
डिनर	ɖ i n ʌ r
अड्कल्	ʌ ɖ k ʌ l
लोपचिह्न	l o p t͡ʃ i ɦ ʌ n
यती	j ʌ t iː
गुनगुन	ɡ u n ɡ u n
उपरि	u p ʌ r i
हर्सा	ɦ ʌ r s ɑː
थाप्	ʈʰ ɑː p
दिशाकुञ्जी	d i ʃ ɑː k u ɲ ʤ iː
उचाइ	u t͡ʃ ɑː i
विपक्षी	b i p ʌ kʃ i
अपरिणामी	ʌ p ʌ r i ɳ ɑː m i
लठैत	l ʌ tʰ ɑː i t
सुमर्	s u m ʌ r
कठ्याङ्ग्रि	k ʌ tʰ j ɑː ŋ g r i
केश	k e ʃ
निदाल	n i d ɑː l
गणित	g ʌ ɳ i t
मानवाधिकार	m ɑː n ʌ v ɑː dʱ i k ɑː r
यता	j ʌ t ɑː
अरुन्धती	ʌ r u n dʱ ʌ t i
भरभित्तो	bʱ ʌ r bʱ i tʰ ʈ o
अधिकारवाला	ʌ dʱ i k ɑː r v ɑː l ɑː
अगाडि	ʌ g ɑː d i
जगदम्बा	j ʌ g ʌ d ʌ m b ɑː
आटा	ɑː ʈ ɑː
अथक	ʌ tʰ ʌ k
सुलसुल	s u l ʌ s u l
इख	i kʰ
आँठो	ɑː ŋ tʰ o
जम्बु	j ʌ m b u
जीउसाँचा	j iː u s ɑː ŋ tʃ ɑː
छिपाउ	tʃʰ i p ɑː u
मिट्टी	m i ʈ ʈ iː
सुर्खेत	s u r kʰ e t
तुर्लुङ्ङ	t u r l u ŋ ŋ
लोहनी	l o ɦ ʌ n i
न्याय	n j ɑː j
पटटट	p ʌ ʈ ʌ ʈ ʌ ʈ
प्लेग	p l e g
आपत	ɑː p ʌ t
अभिशाप	ʌ bʱ i ʃ ɑː p
चिम्टे	tʃ i m ʈ e
प्रेसिडेन्ट	p r e s i d e n ʈ
विरोह	v i r o ɦ
धनञ्जय	dʱ ʌ n ʌ ɳ j ʌ j
