'day	ˈd a j
butlig	b u t ˈl i ɡ
buto	b u ˈt o
buto	ˈb u t o ʔ
butod	b u ˈt o d
butones	b u ˈt o n e s
butot	b u ˈt o t
butse	b u ˈt͡ʃ e
butse	b u ˈt͡ʃ i
butse	b u ˈt͡ʃ e
butse	b u ˈt͡ʃ i
butsi	b u ˈt͡ʃ i
butudkaphay	b u ˌt u d k a p ˈh a j
butudkilos	b u ˌt u d ˈk i l o s
buturan	ˌb u t u ˈɾ a n
buuin	b u ʔ u ˈʔ i n
buumbilang	b u ʔ u m ˈb i l a ŋ
buurin	b u ʔ u ˈɾ i n
buwa	b u ˈa ʔ
buwa	ˈb u a ʔ
buwag	b u ˈa ɡ
buwagin	b u a ˈɡ i n
buwakaw	b u ˈa k a w
buwal	b u ˈa l
buwan	b u ˈa n
buwan	ˈb u a n
buwanan	b u ˈa n a n
buwang	b u ˈa ŋ
buway	b u ˈa j
buwaya	b u ˈa j a
buwelo	b u ˈe l o
buwelta	b u ˈe l t a
buweltahan	b u ˌe l t a ˈh a n
buwenamano	b u ˌe n a ˈm a n o
buweno	b u ˈe n o
buwik	b u ˈi k
buwis	b u ˈi s
buwisan	b u i ˈs a n
buwisan	ˌb u ˈi s a n
buwisit	b u ˈi s i t
buwisit	b u i ˈs i t
buwitre	b u ˈi t ɾ e
buya	ˈb u j a ʔ
buyaya	b u ˈj a j a ʔ
buyaya	b u j a ˈj a ʔ
buyo	ˈb u j o
buyo	b u ˈj o
buyon	b u ˈj o n
buyon	ˈb u j o n
buyunin	ˌb u ˈj u n i n
buyunin	b u j u ˈn i n
bwisit	b u ˈi s i t
Byetnam	b j e t ˈn a m
byolon	b j o ˈl o n
c	s i
c	ˈs e
c	k
c	s
c	s i
C	s i
C	s e
C	k
C	s
Cabahug	k a ˈb a h u ɡ
Caballero	k a b a l ˈj e ɾ o
Caballeros	k a b a l ˈj e ɾ o s
Cabanatuan	k a b a n a ˈt u ʔ a n
Cabanatuan	k a b a n a t ˈw a n
Cabangbang	k a b a ŋ ˈb a ŋ
Cabangon	k a ˈb a ŋ o n
Cabasag	k a ˈb a s a ɡ
Cabatuan	k a b a ˈt u ʔ a n
Cabiao	k a b ˈj a w
Cabiling	k a ˈb i l i ŋ
Cabral	k a b ˈɾ a l
Cabrera	k a b ˈɾ e ɾ a
Cabrillos	k a b ˈɾ i l j o s
Cabuhat	k a ˈb u h a t
Cabungcal	k a b u ŋ ˈk a l
cabuti	k a b u ˈt i
Cabuyao	k a ˈb u j a w
Cacao	k a ˈk a w
Cacdac	k a k ˈd a k
Cachuela	k a t͡ʃ u ˈe l a
Cadano	k a ˈd a n o
Cadapan	k a ˈd a p a n
Caday	ˈk a d a j
Cadayona	k a d a ˈj o n a
Cadiz	ˈk a d i s
Cagalingan	k a ɡ a ˈl i ŋ a n
Cagayan	k a ɡ a ˈj a n
Caguiat	ˈk a ɡ j a t
Caguioa	k a ˈɡ i w a
cahinaan	k a h i ˈn a ʔ a n
Cainta	k a ʔ i n ˈt a ʔ
Cajucom	k a ˈh u k o m
Calalang	k a ˈl a l a ŋ
Calalo	k a ˈl a l o
Calamba	k a l a m ˈb a
Calamba	k a l a m ˈb a ʔ
Calapan	k a l a ˈp a n
Calasiao	k a l a s ˈj a w
Calauag	k a ˈl a w a ɡ
Calauan	k a ˈl a w a n
calauang	k a ˈl a w a ŋ
Calaunan	k a l a ˈʔ u n a n
Calayan	k a ˈl a j a n
Calaycay	k a l a j ˈk a j
Calderon	k a l d e ˈɾ o n
Calimlim	k a l i m ˈl i m
Calinawan	k a l i ˈn a w a n
Calinisan	k a l i ˈn i s a n
Calintaan	k a l i n t a ˈʔ a n
Calingasan	k a l i ˈŋ a s a n
calis	ˈk a l i s
Calixto	k a ˈl i k s t o
Callao	ˈk a l a w
Calma	ˈk a l m a
Caloocan	k a l o ˈʔ o k a n
Caluag	k a ˈl u a ɡ
Caluag	k a ˈl u ʔ a ɡ
Calumpang	k a l u m ˈp a ŋ
Calumpit	k a l u m ˈp i t
Caluya	k a ˈl u j a
Camacho	k a ˈm a t͡ʃ o
Camantigue	k a m a n t i ˈɡ e
Camarines	k a m a ˈɾ i n e s
Camiguin	k a m i ˈɡ i n
Campo	ˈk a m p o
Canales	k a ˈn a l e s
Cancio	ˈk a n s j o
Candelaria	k a n d e ˈl a ɾ j a
candila	k a n ˈd i l a ʔ
Canicosa	k a n i ˈk o s a
Caniedo	k a n ˈj e d o
Canilao	k a ˈn i l a w
canina	k a ˈn i n a
Caniogan	k a n i ˈo ɡ a n
Canlapan	k a n ˈl a p a n
Canlas	k a n ˈl a s
Canlubang	k a n ˈl u b a ŋ
Canoy	ˈk a n o j
Cantalejo	k a n t a ˈl e h o
Cantiveros	k a n t i ˈv e ɾ o s
Cantiveros	k a n t i ˈb e ɾ o s
Cantos	ˈk a n t o s
Cañedo	k a ˈɲ e d o
Cañeso	k a ˈɲ e s o
Cañete	k a ˈɲ e t e
Capangyarihan	k a p a ŋ j a ˈɾ i h a n
Caparas	k a p a ˈɾ a s
Capihan	k a ˈp i h a n
Capili	k a ˈp i l i
Capinpin	k a p i n ˈp i n
Capistrano	ˌk a p i s ˈt ɾ a n o
capitan	k a p i ˈt a n
Capiz	ˈk a p i s
Capucao	k a ˈp u k a w
Capulong	k a ˈp u l o ŋ
Capuno	k a ˈp u n o ʔ
Caraan	k a ˈɾ a ʔ a n
Caraig	k a ˈɾ a ʔ i ɡ
Carandang	k a ɾ a n ˈd a ŋ
Cardenas	ˈk a ɾ d e n a s
Cardenas	k a ɾ ˈd e n a s
Cardiño	k a ɾ ˈd i ɲ o
Cardona	k a ɾ ˈd o n a
Cariaso	k a ɾ ˈj a s o
Carillo	k a ˈɾ i l j o
Cariño	k a ˈɾ i ɲ o
cariñosa	k a ɾ i n ˈj o s a
Caringal	k a ˈɾ i ŋ a l
Caringal	k a ɾ i ˈŋ a l
Carlos	ˈk a ɾ l o s
Carmona	k a ɾ ˈm o n a
Carpio	ˈk a ɾ p j o
Carreon	k a ɾ e ˈo n
Carriaga	k a ɾ ˈj a ɡ a
Carrillo	k a ˈɾ i l j o
Carunungan	k a ɾ u ˈn u ŋ a n
Carvajal	k a ɾ b a ˈh a l
Carvajal	k a ɾ v a ˈh a l
Casacop	k a ˈs a k o p
Casal	k a ˈs a l
Casanova	k a s a ˈn o v a
Casanova	k a s a ˈn o b a
Casao	ˈk a s a w
Casas	ˈk a s a s
Caseda	k a ˈs e d a
Cases	ˈk a s e s
Casiguran	k a s i ˈɡ u ɾ a n
Castañeda	k a s t a ˈɲ e d a
Castillo	k a s ˈt i l j o
Castrence	k a s ˈt ɾ e n s e
Casupang	k a ˈs u p a ŋ
Catacutan	k a t a ˈk u t a n
Catalasan	k a t a ˈl a s a n
Catanauan	k a t a ˈn a w a n
Catanduanes	k a t a n d u ˈa n e s
Catapang	k a ˈt a p a ŋ
Catibog	k a ˈt i b o ɡ
Catindig	k a t i n ˈd i ɡ
Catipon	k a ˈt i p o n
Catmon	k a t ˈm o n
cato	k a ˈt o
Catral	k a t ˈɾ a l
Causon	ˈk a w s o n
Cavite	k a ˈv i t e
Cavite	k a ˈb i t e
Caw	ˈk a w
Cayabyab	k a j a b ˈj a b
Cayco	ˈk a j k o
Cayetano	k a j e ˈt a n o
ce	ˈs e
Cebu	s e ˈb u
Cedeño	s e ˈd e ɲ o
Celedio	s e ˈl e d j o
Celestial	s e l e s t i ˈa l
Cembo	ˈs e m b o
Cendaña	s e n ˈd a ɲ a
Ceniza	s e ˈn i z a
Ceniza	s e ˈn i s a
Cenizal	s e n i ˈz a l
Cenizal	s e n i ˈs a l
Centeno	s e n ˈt e n o
Centino	s e n ˈt i n o
Cepillo	s e ˈp i l j o
Cereno	s e ˈɾ e n o
Cerillo	s e ˈɾ i l j o
Cesneros	s e s ˈn e ɾ o s
CH	ˈt͡ʃ e
CH	ˈt s e
CH	ˈs e
CH	t͡ʃ
CH	t s
CH	s
ch	ˈt͡ʃ e
ch	ˈt s e
ch	ˈs e
ch	t͡ʃ
ch	t s
ch	s
chaka	t͡ʃ a ˈk a ʔ
chaka	ˈt͡ʃ a k a
champaca	t͡ʃ a m ˈp a k a
Chan	ˈt͡ʃ a n
Chang	ˈt͡ʃ a ŋ
charing	t͡ʃ a ˈɾ i ŋ
Charity	ˈt͡ʃ a ɾ i t i
charot	t͡ʃ a ˈɾ o t
charotera	t͡ʃ a ɾ o ˈt e ɾ a
chat	ˈt͡ʃ a t
Chavez	ˈt͡ʃ a v e s
Chavez	ˈt͡ʃ a b e s
che	ˈt͡ʃ e
che	ˈt s e
che	ˈs e
Chedeng	ˈt͡ʃ e d e ŋ
Chedeng	t͡ʃ e ˈd e ŋ
Chen	ˈt͡ʃ e n
Cheng	ˈt͡ʃ e ŋ
Cherry	ˈt͡ʃ e ɾ i
Chi	ˈt͡ʃ i
Chichay	ˈt͡ʃ i t͡ʃ a j
Ching	ˈt͡ʃ i ŋ
Chiong	ˈt͡ʃ j o ŋ
Chiong	ˈt͡ʃ o ŋ
Chiu	ˈt͡ʃ u
Chiu	t͡ʃ i ˈu
Chiyoko	t͡ʃ i ˈo k o
Choi	ˈt͡ʃ o j
chola	ˈt͡ʃ o l a
Chong	ˈt͡ʃ o ŋ
Chow	ˈt͡ʃ a w
Chu	ˈt͡ʃ u
Chua	ˈt͡ʃ u a
Chua	ˈt͡ʃ w a
Chuchay	ˈt͡ʃ u t͡ʃ a j
chumaka	t͡ʃ u ˈm a k a
Chung	ˈt͡ʃ u ŋ
Cinco	ˈs i ŋ k o
Clarence	ˈk l a ɾ e n s
Claro	ˈk l a ɾ o
Claudio	ˈk l a w d j o
Clavecillas	k l a v e ˈs i l j a s
Clavecillas	k l a b e ˈs i l j a s
Claveria	k l a b e ˈɾ i a
Clemente	k l e ˈm e n t e
Clinton	ˈk l i n t o n
Closa	ˈk l o s a
cno	ˈs i n o
Co	ˈk o
Cobarrubias	k o b a ˈɾ u b j a s
Cojuangco	k o h u ˈa ŋ k o
Cojuangco	k o ˈa ŋ k o
Collado	k o l ˈj a d o
Collantes	k o l ˈj a n t e s
Coloma	k o ˈl o m a
Coloso	k o ˈl o s o
COMELEC	ˈk o m e l e k
Comembo	k o ˈm e m b o
Cometa	k o ˈm e t a
Comia	ˈk o m j a
Conde	ˈk o n d e
Condez	ˈk o n d e s
Condez	k o n ˈd e s
Consolacion	k o n s o l a s ˈj o n
Contreras	k o n ˈt ɾ e ɾ a s
Coo	ˈk u
Coquia	ˈk o k j a
Corazon	k o ɾ a ˈz o n
Corazon	k o ɾ a ˈs o n
Corcuera	k o ɾ k u ˈe ɾ a
Cordero	k o ɾ ˈd e ɾ o
Cornejo	k o ɾ ˈn e h o
Coron	k o ˈɾ o n
Corona	k o ˈɾ o n a
Coronel	k o ɾ o ˈn e l
Corpus	ˈk o ɾ p u s
Corrales	k o ˈɾ a l e s
Correa	k o ˈr e a
Corro	ˈk o r o
Cortez	k o ɾ ˈt e s
Cosico	k o ˈs i k o
Costales	k o s ˈt a l e s
Cotabato	k o t a ˈb a t o
coting	k o ˈt i ŋ
CPP	ˌs i p i ˈp i
Crising	k ɾ i ˈs i ŋ
Crisostomo	k ɾ i ˈs o s t o m o
Cruz	ˈk ɾ u s
Cruzat	ˈk ɾ u s a t
Cu	ˈk u
cu	ˈk u
Cua	ˈk w a
Cua	ˈk u a
Cuartero	k u a ɾ ˈt e ɾ o
Cuasay	ˈk w a s a j
Cubacub	k u ˈb a k u b
Cubao	k u ˈb a w
Cudiamat	k u d ˈj a m a t
Cudiamat	k u d j a ˈm a t
Cueto	k u ˈe t o
Cuevas	k u ˈe v a s
Cuevas	k u ˈe b a s
Cuizon	k u ˈi z o n
Cuizon	k u ˈi s o n
Cunanan	k u ˈn a n a n
Cupang	ˈk u p a ŋ
Custodio	k u s ˈt o d j o
Cuyapo	k u j a ˈp o
Cynthia	ˈs i n t j a
d	d i
d	d e
d	d a
d	d
d	d i ʔ
D	d i
D	d e
D	d a
D	d
da	d a
daambayan	d a ʔ a m ˈb a j a n
daan	d a ˈʔ a n
daan	ˈd a ʔ a n
daantaon	d a ˌʔ a n t a ˈʔ o n
dabarkads	ˈd a b a ɾ k a d s
dabaw	ˈd a b a w
dabdab	d a b ˈd a b
dabog	ˈd a b o ɡ
Dacanay	d a ˈk a n a j
dadaanin	d a d a ʔ a ˈn i n
dadaanin	d a d a ˈʔ a n i n
dado	ˈd a d o
daga	d a ˈɡ a ʔ
daga	ˈd a ɡ a
daga	ˈd a ɡ a
dagabdab	d a ɡ a b ˈd a b
dagalwak	d a ɡ a l ˈw a k
dagan	d a ˈɡ a n
dagas	d a ˈɡ a s
dagasa	d a ɡ a ˈs a ʔ
dagasdas	d a ɡ a s ˈd a s
dagat	ˈd a ɡ a t
dagatan	d a ˈɡ a t a n
dagdag	d a ɡ ˈd a ɡ
dagibulog	d a ɡ i b u ˈl o ɡ
dagihaynayan	d a ɡ i h a j ˈn a j a n
dagikapnayan	d a ɡ i k a p ˈn a j a n
dagil	ˈd a ɡ i l
dagilusaw	d a ɡ i l u ˈs a w
dagim	d a ˈɡ i m
dagindas	d a ɡ i n ˈd a s
daginding	d a ɡ i n ˈd i ŋ
dagipik	d a ˈɡ i p i k
dagis	d a ˈɡ i s
dagisdis	d a ɡ i s ˈd i s
dagisik	d a ɡ i ˈs i k
dagisik	d a ˈɡ i s i k
dagisikan	ˌd a ɡ i s i ˈk a n
dagison	d a ˈɡ i s o n
dagit	ˈd a ɡ i t
dagitab	d a ˈɡ i t a b
dagitban	d a ɡ i t ˈb a n
dagitigilan	d a ɡ i ˌt i ɡ i ˈl a n
dagitsigan	d a ɡ i ˈt͡ʃ i ɡ a n
dagitsipat	d a ɡ i t s i ˈp a t
daglat	d a ɡ ˈl a t
dagli	d a ɡ ˈl i ʔ
Dagohoy	d a ˈɡ o h o j
dagok	ˈd a ɡ o k
dagos	ˈd a ɡ o s
dagsa	d a ɡ ˈs a ʔ
dagsin	d a ɡ ˈs i n
dagta	d a ɡ ˈt a ʔ
dagubang	d a ɡ u ˈb a ŋ
dagubdob	d a ɡ u b ˈd o b
daguldol	d a ɡ u l ˈd o l
dagundong	d a ɡ u n ˈd o ŋ
Dagupan	d a ˈɡ u p a n
dagusdos	d a ɡ u s ˈd o s
dahak	d a ˈh a k
dahan	ˈd a h a n
dahan	ˈɾ a h a n
dahas	d a ˈh a s
dahil	ˈd a h i l
dahilan	d a h i ˈl a n
dahilig	d a ˈh i l i ɡ
dahilig	d a l i ˈh i ɡ
dahon	ˈd a h o n
dahop	d a ˈh o p
dahop	ˈd a h o p
daig	d a ˈʔ i ɡ
daig	ˈd a ʔ i ɡ
daigdig	d a ʔ i ɡ ˈd i ɡ
daing	ˈd a ʔ i ŋ
daing	d a ˈʔ i ŋ
dais	d a ˈʔ i s
Daisuke	d a j ˈs u k e
Daisy	ˈd e j s i
daka	ˈd a k a
dakdak	d a k ˈd a k
dakila	d a ˈk i l a ʔ
dakip	d a ˈk i p
dakma	d a k ˈm a ʔ
dako	ˈd a k o
dakol	d a ˈk o l
dakot	d a ˈk o t
dakota	d a ˈk o t a
daks	ˈd a k s
daktao	d a k ˈt a ʔ o
daktinig	d a k ˈt i n i ɡ
dakutin	d a k u ˈt i n
dala	d a ˈl a
dala	ˈd a l a
dala	d a ˈl a ʔ
dalag	d a ˈl a ɡ
dalaga	d a ˈl a ɡ a
Dalaga	d a ˈl a ɡ a
dalaginday	d a ˌl a ɡ i n ˈd a j
dalaginding	d a ˌl a ɡ i n ˈd i ŋ
dalagita	d a l a ˈɡ i t a
Dalahican	d a l a ˈh i k a n
dalahik	d a ˈl a h i k
dalahikan	d a l a ˈh i k a n
dalahira	d a l a ˈh i ɾ a ʔ
dalamhati	d a l a m ˈh a t i ʔ
dalampasig	d a l a m ˈp a s i ɡ
dalampasigan	d a l a m p a ˈs i ɡ a n
dalandan	d a l a n ˈd a n
Dalandanan	d a l a n ˈd a n a n
dalang	ˈd a l a ŋ
dalangat	d a l a ˈŋ a t
dalangat	d a ˈl a ŋ a t
dalanghita	d a l a ŋ ˈh i t a
Dalangin	d a ˈl a ŋ i n
dalangin	d a ˈl a ŋ i n
dalas	d a ˈl a s
dalasan	ˌd a ˈl a s a n
dalasan	d a l a ˈs a n
dalatan	d a ˈl a t a n
dalaw	ˈd a l a w
dalawa	d a l a ˈw a
dalawampu	d a l a w a m ˈp u ʔ
Dalawampu	d a l a w a m ˈp u ʔ
dalawandaan	d a l a w a n d a ˈʔ a n
dalawin	d a ˈl a w i n
dalawit	d a ˈl a w i t
daldal	d a l ˈd a l
daldalera	d a l d a ˈl e ɾ a
daldalero	d a l d a ˈl e ɾ o
dale	ˈd a l e
Dale	ˈd e j l
dalhin	d a l ˈh i n
dali	d a ˈl i ʔ
dali	d a ˈl e ʔ
dali	ˈd a l i ʔ
dali	ˈd a l i
dalikdik	d a l i k ˈd i k
daliri	d a ˈl i ɾ i ʔ
dalisay	d a ˈl i s a j
dalit	d a ˈl i t
dalit	ˈd a l i t
dalita	ˈd a l i t a ʔ
Dalmasya	d a l ˈm a s j a
dalmatika	d a l ˈm a t i k a
dalo	d a ˈl o
dalohaka	d a l o ˈh a k a ʔ
dalok	d a ˈl o k
dalos	ˈd a l o s
dalos	ˈd a l u s
daloy	ˈd a l o j
dalubbanwa	d a ˌl u b b a n ˈw a
dalubbanwahan	d a ˌl u b b a n ˈw a h a n
dalubguro	d a ˌl u b ˈɡ u ɾ o ʔ
dalubhalman	d a ˌl u b h a l ˈm a n
dalubhalmanan	d a ˌl u b h a l ˈm a n a n
dalubhasa	d a l u b ˈh a s a ʔ
dalubhasaan	d a ˌl u b h a s a ˈʔ a n
dalubhayop	d a ˌl u b ˈh a j o p
dalubhayupan	d a ˌl u b h a ˈj u p a n
dalubituinan	d a ˌl u b i t u ʔ i ˈn a n
dalubkabibihan	d a ˌl u b ˌk a b i b i ˈh a n
dalubkatawan	d a ˌl u b k a t a ˈw a n
dalubkulisap	d a ˌl u b k u ˈl i s a p
dalubkulisapan	d a ˌl u b ˌk u l i ˈs a p a n
dalublahi	d a ˌl u b ˈl a h i ʔ
dalublahian	d a ˌl u b ˌl a h i ˈʔ a n
dalublasunan	d a ˌl u b ˌl a s u ˈn a n
dalublumutan	d a ˌl u b ˌl u m u ˈt a n
dalubmagingan	d a ˌl u b m a ˈɡ i ŋ a n
dalubmayawan	d a l u b m a ˈj a w a n
dalubsining	d a l u b ˈs i n i ŋ
dalubsugaan	d a ˌl u b s u ˈɡ a ʔ a n
dalubtala	d a ˌl u b ˈt a l a ʔ
dalubtalaan	d a ˌl u b ˌt a l a ˈʔ a n
dalubtalain	d a l u b t a ˈl a ʔ i n
dalubtao	d a ˌl u b ˈt a ʔ o
dalubtauhan	d a ˌl u b ˌt a ʔ u ˈh a n
dalubwika	d a ˌl u b ˈw i k a ʔ
dalubwikaan	d a ˌl u b w i ˈk a ʔ a n
daluhaka	d a l u ˈh a k a ʔ
daluhong	d a ˈl u h o ŋ
dalumat	d a ˈl u m a t
daluro	d a ˈl u ɾ o ʔ
daluro	d a l u ˈɾ o ʔ
dalurok	d a ˈl u ɾ o k
Dalusong	d a ˈl u s o ŋ
daluyong	d a ˈl u j o ŋ
dalwa	d a l ˈw a
dalya	ˈd a l j a
dama	d a ˈm a
dama	ˈd a m a
dama	ˈd a m a
damag	ˈd a m a ɡ
damag	d a ˈm a ɡ
damag	ˈd a m a ɡ
damahan	d a m a ˈh a n
damahan	d a ˈm a h a n
damak	d a ˈm a k
damay	ˈd a m a j
dambana	d a m ˈb a n a ʔ
dambana	d a m b a ˈn a ʔ
dambong	d a m ˈb o ŋ
dambuhala	d a m b u ˈh a l a ʔ
damdam	d a m ˈd a m
damdamin	d a m ˈd a m i n
dami	ˈd a m i
dami	ˈd a m e
damikay	d a ˈm i k a j
damit	d a ˈm i t
damit	d a ˈm e t
damo	d a ˈm o
damot	ˈd a m o t
dampa	d a m ˈp a ʔ
dampalit	d a m p a ˈl i t
Dampalit	d a m p a ˈl i t
dampi	d a m ˈp i ʔ
dampot	d a m ˈp o t
damsiha	d a m ˈs i h a ʔ
damuhan	d a m u ˈh a n
damuho	d a ˈm u h o ʔ
damukol	d a ˈm u k o l
damulag	d a ˈm u l a ɡ
Damulag	d a ˈm u l a ɡ
danak	ˈd a n a k
danas	ˈd a n a s
danaw	ˈd a n a w
danay	ˈd a n a j
Dancel	d a n ˈs e l
dandang	d a n ˈd a ŋ
Danes	d a ˈn e s
Danesa	d a ˈn e s a
dani	d a ˈn i ʔ
daniw	ˈd a n i w
daniw	d a ˈn i w
dansay	d a n ˈs a j
dantaon	d a n t a ˈʔ o n
dantay	d a n ˈt a j
dantayan	d a n ˈt a j a n
dantayan	d a n t a ˈj a n
danum	d a ˈn u m
danumbiling	ˌd a n u m b i ˈl i ŋ
danumbulog	ˌd a n u m b u ˈl o ɡ
danumhaynayan	d a n u m h a j ˈn a j a n
danumkapnayan	d a n u m k a p ˈn a j a n
danumnayan	d a n u m ˈn a j a n
danumsigwasan	d a n u m s i ɡ ˈw a s a n
danumtigilan	d a n u m ˌt i ɡ i ˈl a n
danyo	ˈd a n j o
danyos	ˈd a n j o s
dangal	d a ˈŋ a l
dangan	ˈd a ŋ a n
dangdang	d a ŋ ˈd a ŋ
danggit	d a ŋ ˈɡ i t
dangkal	d a ŋ ˈk a l
dao	d a ˈʔ o
daong	d a ˈʔ o ŋ
daos	ˈd a ʔ o s
dapa	d a ˈp a ʔ
dapal	ˈd a p a l
dapat	ˈd a p a t
dapaw	ˈd a p a w
dapdap	d a p ˈd a p
dapit	ˈd a p i t
Dapitan	d a ˈp i t a n
dapithapon	ˌd a p i t ˈh a p o n
daplis	d a p ˈl i s
dapo	ˈd a p o ʔ
dapog	ˈd a p o ɡ
dapog	d a ˈp o ɡ
Daproza	d a p ˈɾ o s a
dapulak	d a ˈp u l a k
dapwa	ˈd a p w a ʔ
dara	d a ˈɾ a
dara	ˈd a ɾ a ʔ
dara	ˈd a ɾ a
dara	d a ˈɾ a ʔ
darak	d a ˈɾ a k
darang	d a ˈɾ a ŋ
daranghita	d a ɾ a ŋ ˈh i t a
daras	d a ˈɾ a s
darasigsukat	d a ɾ a s i ɡ ˈs u k a t
darating	d a ɾ a ˈt i ŋ
Darwin	ˈd a ɾ w i n
dasal	d a ˈs a l
Dasma	ˈd a s m a
Dasmariñas	d a s m a ˈɾ i ɲ a s
daspan	ˈd a s p a n
daspanin	ˈd a s p a n i n
daster	ˈd a s t e ɾ
datal	d a ˈt a l
datapuwa	ˈd a t a p u a ʔ
datapwa	ˈd a t a p w a ʔ
datapwat	ˈd a t a p w a t
dati	ˈd a t i
dati	ˈd a t e
datihan	d a ˈt i h a n
datiles	ˌd a t i ˈl e s
dating	d a ˈt i ŋ
Datinguinoo	ˌd a t i ŋ ɡ i n o ˈʔ o
dato	ˈd a t o ʔ
dato	d a ˈt o
datong	d a ˈt o ŋ
datos	ˈd a t o s
datu	ˈd a t u
datu	ˈd a t u ʔ
Datu	ˈd a t u
datung	d a ˈt u ŋ
daulat	d a ˈʔ u l a t
daungan	ˌd a ˈʔ u ŋ a n
dausdos	d a ʔ u s ˈd o s
Davao	ˈd a v a w
Davao	ˈd a b a w
David	ˈd e j v i d
David	ˈd e j b i d
David	d a ˈv i d
David	d a ˈb i d
David	d a ˈv i d
David	d a ˈb i d
daw	d a w
dawa	ˈd a w a ʔ
dawa	ˈd a w a
dawa	d a ˈw a ʔ
dawag	ˈd a w a ɡ
dawdaw	d a w ˈd a w
dawi	ˈd a w i
dawis	ˈd a w i s
dawit	ˈd a w i t
day	ˈd a j
daya	ˈd a j a ʔ
dayalekto	d a j a ˈl e k t o
dayalogo	d a ˈj a l o ɡ o
dayami	d a ˈj a m i
dayan	d a ˈj a n
Dayandante	d a j a n ˈd a n t e
dayang	ˈd a j a ŋ
dayang	d a ˈj a ŋ
Dayang	ˈd a j a ŋ
Dayanghirang	d a j a ŋ ˈh i ɾ a ŋ
Dayao	ˈd a j a w
dayap	ˈd a j a p
dayaper	ˈd a j a p e ɾ
dayo	ˈd a j o
Dayrit	d a j ˈɾ i t
dayuhan	d a ˈj u h a n
dayuhan	d a j u ˈh a n
dayukyok	d a j u k ˈd o k
dayungon	d a ˈj u ŋ o n
dayurayo	d a j u ˈɾ a j o
Dazo	ˈd a z o
Dazo	ˈd a s o
de	d e
Deang	d i ˈa ŋ
debate	d e ˈb a t e
debatista	d e b a ˈt i s t a
debosyon	d e b o s ˈj o n
deboto	d e ˈb o t o
Decena	d e ˈs e n a
dedbol	ˈd e d b o l
dede	ˈd e d e
dede	ˈd e d e ʔ
dedikado	d e d i ˈk a d o
dedikasyon	d e d i k a s ˈj o n
dedma	ˈd e d m a
deds	ˈd e d s
Dee	d i
Defensor	d e f e n ˈs o ɾ
Defensor	d e p e n ˈs o ɾ
Degamo	d e ˈɡ a m o
dehado	d e ˈh a d o
dehins	ˈd e h i n s
dehins	ˈd e j n s
deismo	d e ˈi s m o
deista	d e ˈi s t a
dekada	d e ˈk a d a
dekalogo	d e ˈk a l o ɡ o
dekametro	d e k a ˈm e t ɾ o
dekana	d e ˈk a n a
dekano	d e ˈk a n o
deklara	d e k l a ˈɾ a
deklarasyon	d e k l a ɾ a s ˈj o n
dekorasyon	d e k o ɾ a s ˈj o n
dekorasyunan	d e k o ɾ a s j u ˈn a n
dekreto	d e k ˈɾ e t o
dekwat	ˈd e k w a t
dekwatin	ˈd e k w a t i n
delata	d e ˈl a t a
delegado	d e l e ˈɡ a d o
delegasyon	d e l e ɡ a s ˈj o n
Delfin	d e l ˈf i n
Delfin	d e l ˈp i n
Delgado	d e l ˈɡ a d o
deliberasyon	d e l i b e ɾ a s ˈj o n
delikadesa	d e l i k a ˈd e s a
delikado	d e l i ˈk a d o
deliryo	d e ˈl i ɾ j o
Delizo	d e ˈl i z o
Delizo	d e ˈl i s o
delubyo	d e ˈl u b j o
demanda	d e ˈm a n d a
demandado	d e m a n ˈd a d o
demano	d e ˈm a n o
demokrasya	d e m o ˈk ɾ a s j a
demolisyon	d e m o l i s ˈj o n
demonstrasyon	d e m o n s t ɾ a s ˈj o n
demonyo	d e ˈm o n j o
demostrasyon	d e m o s t ɾ a s ˈj o n
denotasyon	d e n o t a s ˈj o n
dentista	d e n ˈt i s t a
dentisteriya	d e n t i s t e ˈɾ i a
dengge	ˈd e ŋ ɡ e
denggoy	ˈd e ŋ ɡ o j
denggoyin	d e ŋ ɡ o ˈj i n
deograsyas	d e o ˈɡ ɾ a s j a s
deontolohiya	d e o n t o l o ˈh i a
Deparo	d e ˈp a ɾ o
departamento	d e p a ɾ t a ˈm e n t o
depektibo	d e p e k ˈt i b o
depende	d e ˈp e n d e
depensa	d e ˈp e n s a
depensahan	d e p e n s a ˈh a n
depensibo	d e p e n ˈs i b o
depinisyon	d e p i n i s ˈj o n
deportasyon	d e p o ɾ t a s ˈj o n
deposito	d e ˌp o s i ˈt o
depresasyon	d e p ɾ e s a s ˈj o n
depresyon	d e p ɾ e s ˈj o n
deregulasyon	d e ɾ e ɡ u l a s ˈj o n
deretsa	d e ˈɾ e t͡ʃ a
deretso	d e ˈɾ e t͡ʃ o
Deris	ˈd e ɾ i s
desbentaha	d e s b e n ˈt a h a
desena	d e ˈs e n a
desente	d e ˈs e n t e
desesperada	d e s e s p e ˈɾ a d a
desesperado	d e s e s p e ˈɾ a d o
desesperasyon	d e s e s p e ɾ a s ˈj o n
desgrasya	d e s ˈɡ ɾ a s j a
desgrasyada	d e s ɡ ɾ a s ˈj a d a
desgrasyado	d e s ɡ ɾ a s ˈj a d o
desidido	d e s i ˈd i d o
desilitro	d e s i ˈl i t ɾ o
